sbag - full ver: 0.42; Copyright (c) TZWorks LLC
	
	
"cmdline: <filelist> ... | sbag64.exe -pipe -base10 -pair_datetime -no_whitespace -csv -csv_separator |"

analyzing hive: f:\SANS408\Donald_Blake_Evidence\C-Drive\Extracts\SANS408\p1-sys\registry\usrclass\232681.Donald.UsrClass.dat
regdate [UTC]|mru|modify date [UTC]|access date [UTC]|create date [UTC]|type|bag|file size|inode|seq#|full path|source subkey/value name|extra metadata|bag registry dates related to this entry
10/04/2013 17:43:57.804|<-| | | |dir|133||||Desktop\{CLSID_ControlPanel}\Hardward and Sound\{CLSID_DeviceCenter}\|Shell\BagMRU\0\4\1||10/04/2013 17:43:58.616; 10/04/2013 17:43:57.804
10/04/2013 17:43:57.804|| | | |dir|39||||Desktop\{CLSID_ControlPanel}\Hardward and Sound\{CLSID_PowerOptions}\|Shell\BagMRU\0\4\0||09/23/2013 19:22:18.476
09/23/2013 19:22:18.117|<-| | | |dir|40||||Desktop\{CLSID_ControlPanel}\Hardward and Sound\{CLSID_PowerOptions}\Edit Plan Settings\|Shell\BagMRU\0\4\0\0|[1] Name : powercpl.dll,-1|09/23/2013 19:22:18.492
10/22/2013 16:52:25.071|| | | |dir|87||||Desktop\{CLSID_ControlPanel}\Network and Internet\|Shell\BagMRU\0\6||09/23/2013 19:22:18.789
09/23/2013 19:22:18.117|<-| | | |dir|90||||Desktop\{CLSID_ControlPanel}\Network and Internet\{CLSID_NetworkSharingCenter}\|Shell\BagMRU\0\6\0||09/23/2013 19:22:18.804
10/01/2013 18:59:12.291|<-| | | |dir|123||||Desktop\{CLSID_ControlPanel}\Network and Internet\{CLSID_NetworkSharingCenter}\Media streaming options\|Shell\BagMRU\0\6\0\0|[1] Name : wmploc.dll,-2957|10/01/2013 18:59:12.327; 10/01/2013 18:59:12.292
10/22/2013 16:52:25.071|<-| | | |dir|37||||Desktop\{CLSID_ControlPanel}\Programs\|Shell\BagMRU\0\1||09/23/2013 20:04:29.673; 09/23/2013 19:22:18.460
09/23/2013 19:22:18.101|<-| | | |dir|4||||Desktop\{CLSID_ControlPanel}\Programs\{CLSID_ProgramsAndFeatures}\|Shell\BagMRU\0\1\0||10/20/2013 22:06:59.731; 09/23/2013 19:22:18.476
09/23/2013 19:22:18.101|<-| | | |dir|3||||Desktop\{CLSID_ControlPanel}\Programs\{CLSID_ProgramsAndFeatures}\appwiz.cpl\|Shell\BagMRU\0\1\0\0||09/23/2013 19:22:18.414; 09/23/2013 19:22:18.398
09/23/2013 19:22:18.101|| | | |dir|||||Desktop\{CLSID_ControlPanel}\Programs\{CLSID_SetUserDefaults}\|Shell\BagMRU\0\1\1||
09/23/2013 19:22:18.101|<-| | | |dir|73||||Desktop\{CLSID_ControlPanel}\Programs\{CLSID_SetUserDefaults}\Set Default Programs\|Shell\BagMRU\0\1\1\0|[1] Name : sud.dll,-4|09/23/2013 19:22:18.710; 09/23/2013 19:22:18.695
10/22/2013 16:52:25.071|| | | |dir|24||||Desktop\{CLSID_ControlPanel}\System and Security\|Shell\BagMRU\0\0||09/23/2013 19:22:18.367
10/21/2013 19:23:54.489|| | | |dir|197||||Desktop\{CLSID_ControlPanel}\System and Security\{CLSID_ActionCenter}\|Shell\BagMRU\0\0\4||10/20/2013 22:25:30.951; 10/20/2013 22:24:38.049
10/21/2013 19:23:54.489|| | | |dir|38||||Desktop\{CLSID_ControlPanel}\System and Security\{CLSID_AdminTools}\|Shell\BagMRU\0\0\3||10/19/2013 20:07:38.854; 09/23/2013 19:22:18.460
10/21/2013 19:23:54.489|| | | |dir|13||||Desktop\{CLSID_ControlPanel}\System and Security\{CLSID_History}\|Shell\BagMRU\0\0\1||10/20/2013 22:25:14.076; 09/23/2013 19:22:18.273
10/01/2013 18:48:26.068|| | | |dir|16||||Desktop\{CLSID_ControlPanel}\System and Security\{CLSID_History}\Advanced Settings\|Shell\BagMRU\0\0\1\2|[1] Name : %systemroot%\system32\FileHistory.exe|09/23/2013 19:22:18.304
10/01/2013 18:48:26.068|<-| | | |dir|15||||Desktop\{CLSID_ControlPanel}\System and Security\{CLSID_History}\Exclude Folders\|Shell\BagMRU\0\0\1\1|[1] Name : %systemroot%\system32\FileHistory.exe|09/23/2013 19:22:18.304; 09/23/2013 19:22:18.289
10/01/2013 18:48:26.068|| | | |dir|14||||Desktop\{CLSID_ControlPanel}\System and Security\{CLSID_History}\Select Drive\|Shell\BagMRU\0\0\1\0|[1] Name : %systemroot%\system32\FileHistory.exe|09/23/2013 19:22:18.289
10/21/2013 19:23:54.489|| | | |dir|210||||Desktop\{CLSID_ControlPanel}\System and Security\{CLSID_SecureStartup}\|Shell\BagMRU\0\0\5||10/21/2013 18:51:45.917; 10/21/2013 18:51:45.884
